88E1545,,,
Pin,Unit,Type,Name
J5,POWER,PWR,AVDD33
K5,POWER,PWR,AVDD33
J7,POWER,PWR,AVDD33
K7,POWER,PWR,AVDD33
J9,POWER,PWR,AVDD33
K9,POWER,PWR,AVDD33
D4,POWER,PWR,AVDD18
D5,POWER,PWR,AVDD18
D8,POWER,PWR,AVDD18
D9,POWER,PWR,AVDD18
D10,POWER,PWR,AVDD18
D11,POWER,PWR,AVDD18
E4,POWER,PWR,AVDD18
E5,POWER,PWR,AVDD18
E10,POWER,PWR,AVDD18
E11,POWER,PWR,AVDD18
K11,POWER,PWR,AVDD18
L4,POWER,PWR,AVDD18
L5,POWER,PWR,AVDD18
L6,POWER,PWR,AVDD18
L7,POWER,PWR,AVDD18
L8,POWER,PWR,AVDD18
L9,POWER,PWR,AVDD18
L10,POWER,PWR,AVDD18
L11,POWER,PWR,AVDD18
H14,OTHER,BI,CLK_SEL[0]
H13,OTHER,BI,CLK_SEL[1]
N1,OTHER,BI,CONFIG[0]
P1,OTHER,BI,CONFIG[1]
K3,OTHER,BI,CONFIG[2]
L3,OTHER,BI,CONFIG[3]
E6,POWER,PWR,DVDD
E7,POWER,PWR,DVDD
E8,POWER,PWR,DVDD
E9,POWER,PWR,DVDD
F4,POWER,PWR,DVDD
F11,POWER,PWR,DVDD
F12,POWER,PWR,DVDD
G4,POWER,PWR,DVDD
G11,POWER,PWR,DVDD
H4,POWER,PWR,DVDD
J4,POWER,PWR,DVDD
L13,OTHER,BI,HSDACN
L14,PORT,BI,HSDACP
D2,OTHER,BI,INTn
B6,OTHER,BI,MDC
A6,OTHER,BI,MDIO
D1,PORT,BI,P0_LED[0]
E2,PORT,BI,P0_LED[1]
E1,PORT,BI,P0_LED[2]
F2,PORT,BI,P0_LED[3]
P3,PORT,BI,P0_MDIN[0]
P4,PORT,BI,P0_MDIN[1]
N5,PORT,BI,P0_MDIN[2]
M6,PORT,BI,P0_MDIN[3]
N3,PORT,BI,P0_MDIP[0]
N4,PORT,BI,P0_MDIP[1]
P5,PORT,BI,P0_MDIP[2]
M5,PORT,BI,P0_MDIP[3]
A1,PORT,BI,P0_S_INN
B1,PORT,BI,P0_S_INP
A2,PORT,BI,P0_S_OUTN
B2,PORT,BI,P0_S_OUTP
F1,PORT,BI,P1_LED[0]
G2,PORT,BI,P1_LED[1]
G1,PORT,BI,P1_LED[2]
H1,PORT,BI,P1_LED[3]
M7,PORT,BI,P1_MDIN[0]
P8,PORT,BI,P1_MDIN[1]
P7,PORT,BI,P1_MDIN[2]
P6,PORT,BI,P1_MDIN[3]
M8,PORT,BI,P1_MDIP[0]
N8,PORT,BI,P1_MDIP[1]
N7,PORT,BI,P1_MDIP[2]
N6,PORT,BI,P1_MDIP[3]
B4,PORT,BI,P1_S_INN
A4,PORT,BI,P1_S_INP
B3,PORT,BI,P1_S_OUTN
A3,PORT,BI,P1_S_OUTP
H2,PORT,BI,P2_LED[0]
J1,PORT,BI,P2_LED[1]
K1,PORT,BI,P2_LED[2]
K2,PORT,BI,P2_LED[3]
N9,PORT,BI,P2_MDIN[0]
N10,PORT,BI,P2_MDIN[1]
N11,PORT,BI,P2_MDIN[2]
M10,PORT,BI,P2_MDIN[3]
P9,PORT,BI,P2_MDIP[0]
P10,PORT,BI,P2_MDIP[1]
P11,PORT,BI,P2_MDIP[2]
M9,PORT,BI,P2_MDIP[3]
B11,PORT,BI,P2_S_INN
A11,PORT,BI,P2_S_INP
B12,PORT,BI,P2_S_OUTN
A12,PORT,BI,P2_S_OUTP
L1,PORT,BI,P3_LED[0]
L2,PORT,BI,P3_LED[1]
M1,PORT,BI,P3_LED[2]
M2,PORT,BI,P3_LED[3]
P14,PORT,BI,P3_MDIN[0]
M11,PORT,BI,P3_MDIN[1]
P13,PORT,BI,P3_MDIN[2]
P12,PORT,BI,P3_MDIN[3]
N14,PORT,BI,P3_MDIP[0]
M12,PORT,BI,P3_MDIP[1]
N13,PORT,BI,P3_MDIP[2]
N12,PORT,BI,P3_MDIP[3]
A14,PORT,BI,P3_S_INN
B14,PORT,BI,P3_S_INP
A13,PORT,BI,P3_S_OUTN
B13,PORT,BI,P3_S_OUTP
A9,OTHER,BI,Q_INN
B9,PORT,BI,Q_INP
B8,OTHER,BI,Q_OUTN
A8,PORT,BI,Q_OUTP
