A311D2,,,
Pin,Unit,Type,Name
A1,POWER,PWR,DVSS
A2,DDR0,BI,DDR0_DQ0
A3,DDR0,BI,DDR0_DQ5
A5,POWER,PWR,DVSS
A6,DDR0,BI,DDR0_DQ7
A7,DDR0,BI,DDR0_DQSP0
A9,DDR0,BI,DDR0_DQSP1
A10,DDR0,BI,DDR0_DQ11
A12,DDR0,BI,DDR0_DQ15
A13,GPIO,BI,GPIOD_11
A15,GPIO,BI,GPIOD_0
A16,OTHER,BI,SYS_OSCIN
A18,GPIO,BI,GPIOX_15
A19,GPIO,BI,GPIOX_8
A21,GPIO,BI,GPIOX_4
A22,USB,BI,USB20_TXRTUNE
A24,USB,BI,USB30_TXN
A25,USB,BI,USB30_RXP
A27,OTHER,BI,CM_MCLK1
A28,CSI,BI,CSI_B_CLKN
A29,CSI,BI,CSI_A_D3P
A31,CSI,BI,CSI_A_CLKP
A32,CSI,BI,CSI_A_CLKN
A33,POWER,PWR,DVSS
B1,DDR0,BI,DDR0_AC_8
B2,DDR0,BI,DDR0_AC_9
B3,POWER,PWR,DVSS
B4,DDR0,BI,DDR0_DQ1
B5,DDR0,BI,DDR0_DQM0
B6,POWER,PWR,DVSS
B7,DDR0,BI,DDR0_DQSN0
B8,POWER,PWR,DVSS
B9,DDR0,BI,DDR0_DQSN1
B10,DDR0,BI,DDR0_DQ14
B11,POWER,PWR,DVSS
B12,DDR0,BI,DDR0_DQ8
B13,GPIO,BI,GPIOD_5
B14,GPIO,BI,GPIOD_4
B15,GPIO,BI,GPIOD_1
B16,OTHER,BI,SYS_OSCOUT
B17,POWER,PWR,DVSS
B18,GPIO,BI,GPIOX_16
B19,GPIO,BI,GPIOX_9
B20,GPIO,BI,GPIOX_11
B21,GPIO,BI,GPIOX_5
B22,USB,BI,USB30_PCIE_REXT
B23,POWER,PWR,DVSS
B24,USB,BI,USB30_TXP
B25,USB,BI,USB30_RXN
B26,POWER,PWR,DVSS
B27,OTHER,BI,CM_MCLK2
B28,CSI,BI,CSI_B_CLKP
B29,CSI,BI,CSI_A_D3N
B30,CSI,BI,CSI_A_D2P
B31,CSI,BI,CSI_A_D2N
B32,CSI,BI,CSI_A_D1N
B33,CSI,BI,CSI_A_D1P
C2,POWER,PWR,DVSS
C3,DDR0,BI,DDR0_AC_7
C4,DDR0,BI,DDR0_AC_14
C6,DDR0,BI,DDR0_DQ3
C7,DDR0,BI,DDR0_DQ6
C8,DDR0,BI,DDR0_DQM1
C9,POWER,PWR,DVSS
C10,DDR0,BI,DDR0_DQ13
C11,POWER,PWR,DVSS
C12,GPIO,BI,GPIOD_9
C13,POWER,PWR,DVSS
C14,GPIO,BI,GPIOE_3
C15,GPIO,BI,GPIOE_4
C16,POWER,PWR,DVSS
C17,GPIO,BI,GPIOE_0
C18,GPIO,BI,GPIOX_13
C19,GPIO,BI,GPIOX_10
C20,GPIO,BI,GPIOX_7
C21,GPIO,BI,GPIOX_2
C22,OTHER,BI,HCSL_REXT
C23,PCIE,BI,PCIE_CLK_N
C24,PCIE,BI,PCIE_RXN
C25,POWER,PWR,DVSS
C26,USB,BI,USB_A_OTG_DP
C27,USB,BI,USB_A_OTG_DM
C28,USB,BI,USB_B_OTG_DM
C29,POWER,PWR,DVSS
C30,CSI,BI,CSI_D_CLKP
C31,CSI,BI,CSI_D_CLKN
C32,CSI,BI,CSI_A_D0P
D1,DDR0,BI,DDR0_AC_12
D2,DDR0,BI,DDR0_AC_13
D3,DDR0,BI,DDR0_AC_10
D4,DDR0,BI,DDR0_RST
D5,POWER,PWR,DVSS
D6,DDR0,BI,DDR0_DQ2
D7,DDR0,BI,DDR0_DQ4
D8,DDR0,BI,DDR0_DQ9
D10,DDR0,BI,DDR0_DQ12
D11,POWER,PWR,DVSS
D12,GPIO,BI,GPIOD_6
D14,GPIO,BI,GPIOD_10
D15,GPIO,BI,GPIOE_2
D17,GPIO,BI,GPIOX_19
D18,GPIO,BI,GPIOX_12
D20,GPIO,BI,GPIOX_3
D21,GPIO,BI,GPIOX_0
D23,PCIE,BI,PCIE_CLK_P
D24,PCIE,BI,PCIE_RXP
D26,USB,BI,USB_B_OTG_ID
D27,GPIO,BI,GPIOM_9
D28,USB,BI,USB_B_OTG_DP
D30,CSI,BI,CSI_C_D3P
D31,CSI,BI,CSI_C_D3N
D32,CSI,BI,CSI_A_D0N
D33,POWER,PWR,DVSS
E1,POWER,PWR,DVSS
E2,DDR0,BI,DDR0_AC_0
E3,DDR0,BI,DDR0_AC_15
E5,DDR0,BI,DDR0_AC_35
E7,POWER,PWR,DVSS
E8,DDR0,BI,DDR0_DQ10
E9,POWER,PWR,DVSS
E10,POWER,PWR,DVSS
E11,GPIO,BI,GPIOD_8
E12,GPIO,BI,GPIOD_7
E13,POWER,PWR,DVSS
E14,GPIO,BI,GPIOD_3
E15,GPIO,BI,GPIOE_1
E16,POWER,PWR,DVSS
E17,GPIO,BI,GPIOX_18
E18,GPIO,BI,GPIOX_14
E19,POWER,PWR,DVSS
E20,GPIO,BI,GPIOX_6
E21,GPIO,BI,GPIOX_1
E22,POWER,PWR,DVSS
E23,OTHER,BI,POR_OUT
E24,PCIE,BI,PCIE_TXN
E25,POWER,PWR,DVSS
E26,POWER,PWR,DVSS
E27,GPIO,BI,GPIOM_8
E29,POWER,PWR,DVSS
E31,GPIO,BI,GPIOM_11
E32,GPIO,BI,GPIOM_13
E33,GPIO,BI,GPIOM_12
F2,DDR0,BI,DDR0_AC_1
F3,DDR0,BI,DDR0_AC_5
F4,DDR0,BI,DDR0_AC_11
F5,DDR0,BI,DDR0_AC_34
