AtomC2000,,,
,,,
Pin,Unit,Type,Name
AA47,RSVD,bi,AA47_RSVD
AC25,RSVD,bi,AC25_RSVD
AC26,RSVD,bi,AC26_RSVD
AD53,RSVD,bi,AD53_RSVD
AG60,RSVD,bi,AG60_RSVD
AJ34,RSVD,bi,AJ34_RSVD
AL34,RSVD,bi,AL34_RSVD
AP20,RSVD,bi,AP20_RSVD
AP21,RSVD,bi,AP21_RSVD
AR51,RSVD,bi,AR51_RSVD
AR53,RSVD,bi,AR53_RSVD
AR54,RSVD,bi,AR54_RSVD
AT34,RSVD,bi,AT34_RSVD
AT51,RSVD,bi,AT51_RSVD
AU34,RSVD,bi,AU34_RSVD
AJ65,OTHER,bi,BRTCX1_PAD
AJ63,OTHER,bi,BRTCX2_PAD
AD55,POWER,pwr,BVCCRTC_EXTPAD
AM56,OTHER,bi,CLK14_IN
AH60,OTHER,bi,COREPWROK
Y63,OTHER,bi,CPU_RESET_B
AM47,OTHER,bi,CTBTRIGINOUT
AL47,OTHER,bi,CTBTRIGOUT
AW56,OTHER,bi,CX_PRDY_B
AY53,OTHER,bi,CX_PREQ_B
BL12,DDR0,bi,DDR3_0_BS[0]
BL10,DDR0,bi,DDR3_0_BS[1]
BC8,DDR0,bi,DDR3_0_BS[2]
BH26,DDR0,bi,DDR3_0_CASB
BA21,DDR0,bi,DDR3_0_CK[0]
BF21,DDR0,bi,DDR3_0_CK[1]
BG19,DDR0,bi,DDR3_0_CK[2]
BB19,DDR0,bi,DDR3_0_CK[3]
BC21,DDR0,bi,DDR3_0_CKB[0]
BG21,DDR0,bi,DDR3_0_CKB[1]
BH19,DDR0,bi,DDR3_0_CKB[2]
BD19,DDR0,bi,DDR3_0_CKB[3]
BG4,DDR0,bi,DDR3_0_CKE[0]
BH5,DDR0,bi,DDR3_0_CKE[1]
BG5,DDR0,bi,DDR3_0_CKE[2]
BH3,DDR0,bi,DDR3_0_CKE[3]
BA26,DDR0,bi,DDR3_0_CMDPU
BE25,DDR0,bi,DDR3_0_CSB[0]
BB25,DDR0,bi,DDR3_0_CSB[1]
BD23,DDR0,bi,DDR3_0_CSB[2]
BG26,DDR0,bi,DDR3_0_CSB[3]
AM15,DDR0,bi,DDR3_0_DQ[0]
AM14,DDR0,bi,DDR3_0_DQ[1]
AL8,DDR0,bi,DDR3_0_DQ[2]
AM8,DDR0,bi,DDR3_0_DQ[3]
AM17,DDR0,bi,DDR3_0_DQ[4]
AL15,DDR0,bi,DDR3_0_DQ[5]
AM11,DDR0,bi,DDR3_0_DQ[6]
AM9,DDR0,bi,DDR3_0_DQ[7]
AR14,DDR0,bi,DDR3_0_DQ[8]
AT13,DDR0,bi,DDR3_0_DQ[9]
AT10,DDR0,bi,DDR3_0_DQ[10]
AR11,DDR0,bi,DDR3_0_DQ[11]
AR16,DDR0,bi,DDR3_0_DQ[12]
AT14,DDR0,bi,DDR3_0_DQ[13]
AT8,DDR0,bi,DDR3_0_DQ[14]
AR10,DDR0,bi,DDR3_0_DQ[15]
AY9,DDR0,bi,DDR3_0_DQ[16]
AY11,DDR0,bi,DDR3_0_DQ[17]
AY15,DDR0,bi,DDR3_0_DQ[18]
AW17,DDR0,bi,DDR3_0_DQ[19]
AW8,DDR0,bi,DDR3_0_DQ[20]
AY8,DDR0,bi,DDR3_0_DQ[21]
AY14,DDR0,bi,DDR3_0_DQ[22]
AW15,DDR0,bi,DDR3_0_DQ[23]
AN4,DDR0,bi,DDR3_0_DQ[24]
AN2,DDR0,bi,DDR3_0_DQ[25]
AU1,DDR0,bi,DDR3_0_DQ[26]
AU3,DDR0,bi,DDR3_0_DQ[27]
AL2,DDR0,bi,DDR3_0_DQ[28]
AL4,DDR0,bi,DDR3_0_DQ[29]
AR2,DDR0,bi,DDR3_0_DQ[30]
AR4,DDR0,bi,DDR3_0_DQ[31]
BA32,DDR0,bi,DDR3_0_DQ[32]
BA30,DDR0,bi,DDR3_0_DQ[33]
BF30,DDR0,bi,DDR3_0_DQ[34]
BD30,DDR0,bi,DDR3_0_DQ[35]
BB32,DDR0,bi,DDR3_0_DQ[36]
AY30,DDR0,bi,DDR3_0_DQ[37]
BG29,DDR0,bi,DDR3_0_DQ[38]
BG30,DDR0,bi,DDR3_0_DQ[39]
BL16,DDR0,bi,DDR3_0_DQ[40]
BL17,DDR0,bi,DDR3_0_DQ[41]
BL21,DDR0,bi,DDR3_0_DQ[42]
BN21,DDR0,bi,DDR3_0_DQ[43]
BM16,DDR0,bi,DDR3_0_DQ[44]
BP16,DDR0,bi,DDR3_0_DQ[45]
BP19,DDR0,bi,DDR3_0_DQ[46]
BN19,DDR0,bi,DDR3_0_DQ[47]
BM25,DDR0,bi,DDR3_0_DQ[48]
BP25,DDR0,bi,DDR3_0_DQ[49]
BL28,DDR0,bi,DDR3_0_DQ[50]
BN28,DDR0,bi,DDR3_0_DQ[51]
BL23,DDR0,bi,DDR3_0_DQ[52]
BN23,DDR0,bi,DDR3_0_DQ[53]
BM27,DDR0,bi,DDR3_0_DQ[54]
BP28,DDR0,bi,DDR3_0_DQ[55]
BN32,DDR0,bi,DDR3_0_DQ[56]
BK32,DDR0,bi,DDR3_0_DQ[57]
BN35,DDR0,bi,DDR3_0_DQ[58]
BM36,DDR0,bi,DDR3_0_DQ[59]
BM31,DDR0,bi,DDR3_0_DQ[60]
BL32,DDR0,bi,DDR3_0_DQ[61]
