DDR4DIMM,,,
Pin,Unit,Type,Name
1,PWR,PWR,12V
2,PWR,PWR,VSS
3,DATA,I/O,DQ4
4,PWR,PWR,VSS
5,DATA,I/O,DQ0
6,PWR,PWR,VSS
7,DQS,I/O,DM0_n
8,DQS,I/O,TDQS9_c
9,PWR,PWR,VSS
10,DATA,I/O,DQ6
11,PWR,PWR,VSS
12,DATA,I/O,DQ2
13,PWR,PWR,VSS
14,DATA,I/O,DQ12
15,PWR,PWR,VSS
16,DATA,I/O,DQ8
17,PWR,PWR,VSS
18,DQS,I/O,DM1_n
19,DQS,I/O,TDQS10_c
20,PWR,PWR,VSS
21,DATA,I/O,DQ14
22,PWR,PWR,VSS
23,DATA,I/O,DQ10
24,PWR,PWR,VSS
25,DATA,I/O,DQ20
26,PWR,PWR,VSS
27,DATA,I/O,DQ16
28,PWR,PWR,VSS
29,DQS,I/O,DM2_n
30,DQS,I/O,TDQS11_c
31,PWR,PWR,VSS
32,DATA,I/O,DQ22
33,PWR,PWR,VSS
34,DATA,I/O,DQ18
35,PWR,PWR,VSS
36,DATA,I/O,DQ28
37,PWR,PWR,VSS
38,DATA,I/O,DQ24
39,PWR,PWR,VSS
40,DQS,I/O,DM3_n
41,DQS,I/O,TDQS12_c
42,PWR,PWR,VSS
43,DATA,I/O,DQ30
44,PWR,PWR,VSS
45,DATA,I/O,DQ26
46,PWR,PWR,VSS
47,OTHER,I/O,CB4
48,PWR,PWR,VSS
49,OTHER,I/O,CB0
50,PWR,PWR,VSS
51,DQS,I/O,DM8_n
52,DQS,I/O,TDQS17_c
53,PWR,PWR,VSS
54,OTHER,I/O,CB6
55,PWR,PWR,VSS
56,OTHER,I/O,CB2
57,PWR,PWR,VSS
58,OTHER,I/O,RESET_n
59,PWR,PWR,VDD
60,DQS,I/O,CKE0
61,PWR,PWR,VDD
62,ADDR,I/O,ACT_n
63,OTHER,I/O,BG0
64,PWR,PWR,VDD
65,ADDR,I/O,A12/BC_n
66,ADDR,I/O,A9
67,PWR,PWR,VDD
68,ADDR,I/O,A8
69,ADDR,I/O,A6
70,PWR,PWR,VDD
71,ADDR,I/O,A3
72,ADDR,I/O,A1
73,PWR,PWR,VDD
74,DQS,I/O,CK0_t
75,DQS,I/O,CK0_c
76,PWR,PWR,VDD
77,PWR,PWR,VTT
78,OTHER,I/O,EVENT_n
79,ADDR,I/O,A0
80,PWR,PWR,VDD
81,ADDR,I/O,BA0
82,ADDR,I/O,RAS_n/A16
83,PWR,PWR,VDD
84,OTHER,I/O,CS0_n
85,PWR,PWR,VDD
86,ADDR,I/O,CAS_n/A15
87,OTHER,I/O,ODT0
88,PWR,PWR,VDD
89,OTHER,I/O,CS1_n
90,PWR,PWR,VDD
91,OTHER,I/O,ODT1
92,PWR,PWR,VDD
93,OTHER,I/O,C0/CS2_n
94,PWR,PWR,VSS
95,DATA,I/O,DQ36
96,PWR,PWR,VSS
97,DATA,I/O,DQ32
98,PWR,PWR,VSS
99,DQS,I/O,DM4_n
100,DQS,I/O,TDQS13_c
101,PWR,PWR,VSS
102,DATA,I/O,DQ38
103,PWR,PWR,VSS
104,DATA,I/O,DQ34
105,PWR,PWR,VSS
106,DATA,I/O,DQ44
107,PWR,PWR,VSS
108,DATA,I/O,DQ40
109,PWR,PWR,VSS
110,DQS,I/O,DM5_n
111,DQS,I/O,TDQS14_c
112,PWR,PWR,VSS
113,DATA,I/O,DQ46
114,PWR,PWR,VSS
115,DATA,I/O,DQ42
116,PWR,PWR,VSS
117,DATA,I/O,DQ52
118,PWR,PWR,VSS
119,DATA,I/O,DQ48
120,PWR,PWR,VSS
121,DQS,I/O,DM6_n
122,DQS,I/O,TDQS15_c
123,PWR,PWR,VSS
124,DATA,I/O,DQ54
125,PWR,PWR,VSS
126,DATA,I/O,DQ50
127,PWR,PWR,VSS
128,DATA,I/O,DQ60
129,PWR,PWR,VSS
130,DATA,I/O,DQ56
131,PWR,PWR,VSS
132,DQS,I/O,DM7_n
133,DQS,I/O,TDQS16_t
134,PWR,PWR,VSS
135,DATA,I/O,DQ62
136,PWR,PWR,VSS
137,DATA,I/O,DQ58
138,PWR,PWR,VSS
139,ADDR,I/O,SA0
140,ADDR,I/O,SA1
141,OTHER,I/O,SCL
142,PWR,PWR,VPP
143,PWR,PWR,VPP
144,PWR,NC,RFU
145,PWR,PWR,12V
146,PWR,PWR,VREFCA
147,PWR,PWR,VSS
148,DATA,I/O,DQ5
149,PWR,PWR,VSS
150,DATA,I/O,DQ1
151,PWR,PWR,VSS
152,DQS,I/O,DQS0_c
153,DQS,I/O,DQS0_t
154,PWR,PWR,VSS
155,DATA,I/O,DQ7
156,PWR,PWR,VSS
157,DATA,I/O,DQ3
158,PWR,PWR,VSS
159,DATA,I/O,DQ13
160,PWR,PWR,VSS
161,DATA,I/O,DQ9
162,PWR,PWR,VSS
163,DQS,I/O,DQS1_c
164,DQS,I/O,DQS1_t
165,PWR,PWR,VSS
166,DATA,I/O,DQ15
167,PWR,PWR,VSS
168,DATA,I/O,DQ11
169,PWR,PWR,VSS
170,DATA,I/O,DQ21
171,PWR,PWR,VSS
172,DATA,I/O,DQ17
173,PWR,PWR,VSS
174,DQS,I/O,DQS2_c
175,DQS,I/O,DQS2_t
176,PWR,PWR,VSS
177,DATA,I/O,DQ23
178,PWR,PWR,VSS
179,DATA,I/O,DQ19
180,PWR,PWR,VSS
181,DATA,I/O,DQ29
182,PWR,PWR,VSS
183,DATA,I/O,DQ25
184,PWR,PWR,VSS
185,DQS,I/O,DQS3_c
186,DQS,I/O,DQS3_t
187,PWR,PWR,VSS
188,DATA,I/O,DQ31
189,PWR,PWR,VSS
190,DATA,I/O,DQ27
191,PWR,PWR,VSS
192,OTHER,I/O,CB5
193,PWR,PWR,VSS
194,OTHER,I/O,CB1
195,PWR,PWR,VSS
196,DQS,I/O,DQS8_c
197,DQS,I/O,DQS8_t
198,PWR,PWR,VSS
199,OTHER,I/O,CB7
200,PWR,PWR,VSS
201,OTHER,I/O,CB3
202,PWR,PWR,VSS
203,DQS,I/O,CKE1
204,PWR,PWR,VDD
205,PWR,NC,RFU
206,PWR,PWR,VDD
207,OTHER,I/O,BG1
208,OTHER,I/O,ALERT_n
209,PWR,PWR,VDD
210,ADDR,I/O,A11
211,ADDR,I/O,A7
212,PWR,PWR,VDD
213,ADDR,I/O,A5
214,ADDR,I/O,A4
215,PWR,PWR,VDD
216,ADDR,I/O,A2
217,PWR,PWR,VDD
218,DQS,I/O,CK1_t
219,DQS,I/O,CK1_c
220,PWR,PWR,VDD
221,PWR,PWR,VTT
222,OTHER,I/O,PARITY
223,PWR,PWR,VDD
224,ADDR,I/O,BA1
225,ADDR,I/O,A10/AP
226,PWR,PWR,VDD
227,PWR,NC,RFU
228,ADDR,I/O,A14/WE_n
229,PWR,PWR,VDD
230,OTHER,I/O,SAVE_n
231,PWR,PWR,VDD
232,ADDR,I/O,A13
233,PWR,PWR,VDD
234,ADDR,I/O,A17
235,OTHER,I/O,C2
236,PWR,PWR,VDD
237,OTHER,I/O,CS3_n/C1
238,ADDR,I/O,SA2
239,PWR,PWR,VSS
240,DATA,I/O,DQ37
241,PWR,PWR,VSS
242,DATA,I/O,DQ33
243,PWR,PWR,VSS
244,DQS,I/O,DQS4_c
245,DQS,I/O,DQS4_t
246,PWR,PWR,VSS
247,DATA,I/O,DQ39
248,PWR,PWR,VSS
249,DATA,I/O,DQ35
250,PWR,PWR,VSS
251,DATA,I/O,DQ45
252,PWR,PWR,VSS
253,DATA,I/O,DQ41
254,PWR,PWR,VSS
255,DQS,I/O,DQS5_c
256,DQS,I/O,DQS3_t
257,PWR,PWR,VSS
258,DATA,I/O,DQ47
259,PWR,PWR,VSS
260,DATA,I/O,DQ43
261,PWR,PWR,VSS
262,DATA,I/O,DQ53
