GL830,,,,
Pins,Unit,Type,Name,Side
1,UNIT_PWR,PWR,GND,LEFT
2,UNIT_A,I/O,GPIO0,RIGHT
3,UNIT_A,I/O,GPIO3,RIGHT
4,UNIT_A,I/O,PI03,LEFT
5,UNIT_A,INPUT,HRST_,RIGHT
6,UNIT_PWR,PWR,CVDD,RIGHT
7,UNIT_PWR,PWR,VDD,RIGHT
8,UNIT_PWR,PWR,GND,LEFT
9,UNIT_A,INPUT,TEST,RIGHT
10,UNIT_A,I/O,PIO0,LEFT
11,UNIT_A,I/O,PIO1,LEFT
12,UNIT_PWR,PWR,CVDD,RIGHT
13,UNIT_PWR,PWR,GND,LEFT
14,UNIT_PWR,PWR,VDD,RIGHT
15,UNIT_PWR,PWR,V5,RIGHT
16,UNIT_PWR,NC,NC,RIGHT
17,UNIT_A,I/O,GPIO2,RIGHT
18,UNIT_A,I/O,PIO2,LEFT
19,UNIT_PWR,NC,NC,LEFT
20,UNIT_A,I/O,GPIO1,RIGHT
21,UNIT_PWR,NC,NC,LEFT
22,UNIT_PWR,PWR,AVDD,RIGHT
23,UNIT_A,I/O,RREF,LEFT
24,UNIT_PWR,PWR,AGND,LEFT
25,UNIT_A,I/O,DM,LEFT
26,UNIT_A,I/O,DP,LEFT
27,UNIT_PWR,PWR,AVDD,RIGHT
28,UNIT_PWR,PWR,AGND,LEFT
29,UNIT_PWR,PWR,CVDD,RIGHT
30,UNIT_PWR,PWR,VDD,RIGHT
31,UNIT_PWR,PWR,GND,LEFT
32,UNIT_PWR,PWR,VDD,RIGHT
33,UNIT_A,I/O,X2,LEFT
34,UNIT_A,INPUT,X1,LEFT
35,UNIT_PWR,PWR,CVDD,RIGHT
36,UNIT_PWR,PWR,GND,LEFT
37,UNIT_A,I/O,RTERM,RIGHT
38,UNIT_PWR,PWR,PLLVDD,RIGHT
39,UNIT_PWR,PWR,PLLVSS,LEFT
40,UNIT_PWR,PWR,TXVSS,LEFT
41,UNIT_PWR,PWR,TXVDD,RIGHT
42,UNIT_A,OUTPUT,TXP,RIGHT
43,UNIT_A,OUTPUT,TXN,RIGHT
44,UNIT_A,INPUT,RXN,RIGHT
45,UNIT_A,INPUT,RXP,RIGHT
46,UNIT_PWR,PWR,RXVDD,RIGHT
47,UNIT_PWR,PWR,RXVSS,LEFT
48,UNIT_PWR,PWR,CVDD,RIGHT
