JMS539,,,
Pin,Type,Name,SIDE
1,BI,GPIO1/UAO,RIGHT
2,BI,GPIO6/S_SPI_Sl,LEFT
3,BI,GPIO0/UAI,RIGHT
4,PWR,VCCK,TOP
5,BI,GPIO7/S_SPI_CE,LEFT
6,BI,GPIO5/S_SPI_SO,LEFT
7,BI,GPIO4/S_SPI_CK,LEFT
8,BI,GPIO8/D1_PWR_CNTL,RIGHT
9,BI,GPIO14/D1_ERR_LED3,RIGHT
10,PWR,VCCO,TOP
11,BI,GPIO12/DI_ACT_LED1,RIGHT
12,PWR,VCCK,TOP
13,BI,GPIO15/P_SPI_CK,LEFT
14,BI,GPIO16/P_SPI_SO,LEFT
15,BI,GPIO13/P_SPI_Sl,LEFT
16,BI,VBUS_SENSE,RIGHT
17,PWR,VCCK,TOP
18,BI,GPIO2/P_SPI_CE,LEFT
19,NC,NC,RIGHT
20,BI,GPIO3/PWM,RIGHT
21,PWR,VCCK,TOP
22,PWR,LDO_5V_IN,TOP
23,PWR,LDO_3V_OUT,TOP
24,BI,DM,RIGHT
25,BI,DP,LEFT
26,BI,SSREXT,LEFT
27,PWR,AVDDH,TOP
28,BI,SSTXN,LEFT
29,BI,SSTXP,LEFT
30,PWR,AVDDL,TOP
31,BI,SSRXN,LEFT
32,BI,SSRXP,LEFT
33,PWR,AVDDL,TOP
34,NC,NC,RIGHT
35,NC,NC,RIGHT
36,NC,NC,RIGHT
37,NC,NC,RIGHT
38,NC,NC,RIGHT
39,NC,NC,RIGHT
40,PWR,AVDDH,TOP
41,BI,XOUT,RIGHT
42,BI,XIN,RIGHT
43,BI,AUX-REXT,RIGHT
44,PWR,AVDDL,TOP
45,BI,S0_RXP,RIGHT
46,BI,S0_RXN,RIGHT
47,PWR,AVDDL,TOP
48,BI,S0_TXN,RIGHT
49,BI,S0_TXP,RIGHT
50,PWR,AVDDH,TOP
51,BI,S1_RXP,RIGHT
52,BI,S1_RXN,RIGHT
53,PWR,AVDDL,TOP
54,BI,S1_TXN,RIGHT
55,BI,S1_TXP,RIGHT
56,PWR,AVDDL,TOP
57,NC,NC,RIGHT
58,BI,GPIO19,RIGHT
59,BI,GPIO18,RIGHT
60,BI,GPIO17/TACH_lN,RIGHT
61,BI,GPIO9/DO_PWR_CNTL,RIGHT
62,PWR,VCCK,TOP
63,PWR,VCCO,TOP
64,BI,GPIO10/DO_ERR_LED2,RIGHT
65,BI,RST#,RIGHT
66,BI,GPIO11/D0_ACT_LED0,RIGHT
67,BI,TESTEN,RIGHT
68,PWR,VCCK,TOP
69,PWR,VREG_GND,BOTTOM
70,PWR,VREG_GND,BOTTOM
71,BI,VREG_OUT,RIGHT
72,BI,VREG_OUT,RIGHT
73,BI,VREG_IN,RIGHT
74,BI,VREG_IN,RIGHT
75,BI,FB,RIGHT
76,PWR,VCCK,TOP
