JMS583,,,,
Pin,Unit,Type,Name,Side
1,UNIT_PWR,PWR,VDDREG,RIGHT
2,UNIT_PWR,PWR,VCCK,RIGHT
3,UNIT_A,I/O,GPIO[0]/SO,LEFT
4,UNIT_A,I/O,GPIO[1]/SCK,LEFT
5,UNIT_A,I/O,GPIO[2]/SI,LEFT
6,UNIT_PWR,PWR,VCCO,LEFT
7,UNIT_A,I/O,GPIO[3]/CE0,LEFT
8,UNIT_A,I/O,GPIO[4],RIGHT
9,UNIT_A,I/O,GPIO[5],RIGHT
10,UNIT_A,I/O,GPIO[6],RIGHT
11,UNIT_PWR,PWR,VCCO,LEFT
12,UNIT_A,I/O,GPIO[7],RIGHT
13,UNIT_A,I/O,UAO/GPIO[8],RIGHT
14,UNIT_A,I/O,UAI/GPIO[9],RIGHT
15,UNIT_A,INPUT,RST,LEFT
16,UNIT_PWR,PWR,VBUS,LEFT
17,UNIT_A,I/O,DM,LEFT
18,UNIT_A,I/O,DP,LEFT
19,UNIT_PWR,PWR,AVDD33,LEFT
20,UNIT_PWR,PWR,AVDDL,LEFT
21,UNIT_A,OUTPUT,U_TXP1,LEFT
22,UNIT_A,OUTPUT,U_TXN1,LEFT
23,UNIT_A,OUTPUT,U_TXN2,LEFT
24,UNIT_A,OUTPUT,U_TXP2,LEFT
25,UNIT_PWR,PWR,AVDDL,LEFT
26,UNIT_A,INPUT,U_RXP1,LEFT
27,UNIT_A,INPUT,U_RXN1,LEFT
28,UNIT_A,INPUT,U_RXN2,LEFT
29,UNIT_A,INPUT,U_RXP2,LEFT
30,UNIT_PWR,PWR,AVDDL,LEFT
31,UNIT_PWR,PWR,VCCK,RIGHT
32,UNIT_PWR,PWR,VCCO,LEFT
33,UNIT_PWR,PWR,AVDDL,LEFT
34,UNIT_A,INPUT,P_RXN1,RIGHT
35,UNIT_A,INPUT,P_RXP1,RIGHT
36,UNIT_PWR,PWR,AVDDL,LEFT
37,UNIT_A,OUTPUT,P_TXN1,RIGHT
38,UNIT_A,OUTPUT,P_TXP1,RIGHT
39,UNIT_A,INPUT,REXT,LEFT
40,UNIT_PWR,PWR,AVDDL,LEFT
41,UNIT_A,INPUT,P_RXN0,RIGHT
42,UNIT_A,INPUT,P_RXP0,RIGHT
43,UNIT_PWR,PWR,AVDDL,LEFT
44,UNIT_A,OUTPUT,P_TXN0,RIGHT
45,UNIT_A,OUTPUT,P_TXP0,RIGHT
46,UNIT_PWR,PWR,AVDDL,LEFT
47,UNIT_A,OUTPUT,CLKN,RIGHT
48,UNIT_A,OUTPUT,CLKP,RIGHT
49,UNIT_PWR,PWR,AVDDL,LEFT
50,UNIT_A,INPUT,XIN,LEFT
51,UNIT_A,OUTPUT,XOUT,LEFT
52,UNIT_PWR,PWR,XAVDDH,RIGHT
53,UNIT_PWR,PWR,VCCK,RIGHT
54,UNIT_A,OUTPUT,P_RSTN,RIGHT
55,UNIT_A,I/O,P_CLKREQN,RIGHT
55,UNIT_A,I/O,P_CLKREQN,RIGHT
56,UNIT_PWR,PWR,VCCO,LEFT
57,UNIT_A,I/O,GPIO[12],RIGHT
58,UNIT_A,I/O,GPIO[11],RIGHT
59,UNIT_A,I/O,GPIO[10],RIGHT
60,UNIT_A,INPUT,TME,LEFT
61,UNIT_A,INPUT,CC2,LEFT
62,UNIT_A,INPUT,CC1,LEFT
63,UNIT_PWR,PWR,GND,LEFT
64,UNIT_PWR,PWR,LXO,RIGHT
