LAN7430,,,
Pin,Type,Name,Side
1,PWR,AVDDH_1,TOP
2,BI,TXRXP_A,RIGHT
3,BI,TXRXM_A,RIGHT
4,PWR,AVDDL_1,TOP
5,BI,TXRXP_B,RIGHT
6,BI,TXRXM_B,RIGHT
7,BI,TXRXP_C,RIGHT
8,BI,TXRXM_C,RIGHT
9,PWR,AVDDL_2,TOP
10,BI,TXRXP_D,RIGHT
11,BI,TXRXM_D,RIGHT
12,PWR,AVDDH_2,TOP
13,PWR,VDD12CORE,TOP
14,BI,VP,RIGHT
15,BI,GD_1,RIGHT
16,BI,PCIE_RX_P,LEFT
17,BI,PCIE_RX_M,LEFT
18,BI,GD_2,RIGHT
19,BI,PCIE_TX_P,LEFT
20,BI,VPTX,RIGHT
21,BI,PCIE_TX_M,LEFT
22,BI,GD_3,RIGHT
23,BI,VPH,RIGHT
24,BI,RESREF,RIGHT
25,BI,PCIE_CLK_P,LEFT
26,BI,PCIE_CLK_M,LEFT
27,PWR,VDD25_REG_OUT,TOP
28,PWR,VDD_REG_IN,TOP
29,BI,RESET_N,RIGHT
30,BI,TEST,RIGHT
31,PWR,VDD12CORE,TOP
32,PWR,VDD12_SW_OUT,TOP
33,PWR,VDD_SW_IN,TOP
34,PWR,VDD12_SW_FB,TOP
35,BI,VAUX_DET/GPIO3/LED3/TCK,LEFT
36,BI,EECLK/GPIO2/LED2/TMS/ADV_PM_DISABLE,LEFT
37,BI,EEDIO/GPIO1/LED1/TDO,LEFT
38,BI,EECS/GPIO0/LED0/TDI,LEFT
39,PWR,VDDVARIO,TOP
40,PWR,VDD12CORE,TOP
41,PWR,VDD_OTP,TOP
42,BI,CLKREQ#,RIGHT
43,BI,WAKE#,RIGHT
44,BI,PERST#,RIGHT
45,PWR,AVDD12,TOP
46,BI,XO,RIGHT
47,BI,XI,RIGHT
48,BI,ISET,RIGHT
