LGA-1151-2,,,,
Pin,Unit,Type,Name,Side
V3,UNIT_A,INPUT,PROC_AUDIO_CLK,LEFT
V2,UNIT_A,INPUT,PROC_AUDIO_SDI,LEFT
U1,UNIT_A,OUTPUT,PROC_AUDIO_SDO,LEFT
W4,UNIT_A,INPUT,BCLKN,LEFT
W5,UNIT_A,INPUT,BCLKP,LEFT
D13,UNIT_A,OUTPUT,CATERR#,LEFT
J9,UNIT_A,INPUT,CLK24N,LEFT
K9,UNIT_A,INPUT,CLK24P,LEFT
G8,PWR,PWR,VSS,RIGHT
AY3,PWR,PWR,VSS,RIGHT
F11,UNIT_A,INPUT,PROC_TCK,RIGHT
G12,UNIT_A,INPUT,PROC_TDI,RIGHT
H13,UNIT_A,INPUT,PROC_TDO,RIGHT
F13,UNIT_A,INPUT,PROC_TMS,RIGHT
F12,UNIT_A,INPUT,PROC_TRST#,RIGHT
D1,UNIT_A,INPUT,PROC_TRIGIN,RIGHT
B3,UNIT_A,INPUT,PROC_TRIGOUT,RIGHT
F8,UNIT_A,INPUT,PROCPWRGD,RIGHT
C13,UNIT_B,OUTPUT,DDI1_AUXN,LEFT
B13,UNIT_B,OUTPUT,DDI1_AUXP,LEFT
D21,UNIT_B,OUTPUT,DDI1_TXN[0],LEFT
E22,UNIT_B,OUTPUT,DDI1_TXN[1],LEFT
A23,UNIT_B,OUTPUT,DDI1_TXN[2],LEFT
D23,UNIT_B,OUTPUT,DDI1_TXN[3],LEFT
C21,UNIT_B,OUTPUT,DDI1_TXP[0],LEFT
D22,UNIT_B,OUTPUT,DDI1_TXP[1],LEFT
B23,UNIT_B,OUTPUT,DDI1_TXP[2],LEFT
C23,UNIT_B,OUTPUT,DDI1_TXP[3],LEFT
B12,UNIT_B,OUTPUT,DDI2_AUXN,LEFT
A12,UNIT_B,OUTPUT,DDI2_AUXP,LEFT
A18,UNIT_B,OUTPUT,DDI2_TXN[0],LEFT
E18,UNIT_B,OUTPUT,DDI2_TXN[1],LEFT
D19,UNIT_B,OUTPUT,DDI2_TXN[2],LEFT
E20,UNIT_B,OUTPUT,DDI2_TXN[3],LEFT
B18,UNIT_B,OUTPUT,DDI2_TXP[0],LEFT
D18,UNIT_B,OUTPUT,DDI2_TXP[1],LEFT
C19,UNIT_B,OUTPUT,DDI2_TXP[2],LEFT
D20,UNIT_B,OUTPUT,DDI2_TXP[3],LEFT
C11,UNIT_B,OUTPUT,DDI3_AUXN,LEFT
B11,UNIT_B,OUTPUT,DDI3_AUXP,LEFT
A14,UNIT_B,OUTPUT,DDI3_TXN[0],LEFT
B15,UNIT_B,OUTPUT,DDI3_TXN[1],LEFT
A16,UNIT_B,OUTPUT,DDI3_TXN[2],LEFT
B17,UNIT_B,OUTPUT,DDI3_TXN[3],LEFT
B14,UNIT_B,OUTPUT,DDI3_TXP[0],LEFT
C15,UNIT_B,OUTPUT,DDI3_TXP[1],LEFT
B16,UNIT_B,OUTPUT,DDI3_TXP[2],LEFT
C17,UNIT_B,OUTPUT,DDI3_TXP[3],LEFT
Y4,UNIT_B,INPUT,DMI_RXN[0],RIGHT
AA5,UNIT_B,INPUT,DMI_RXN[1],RIGHT
AB3,UNIT_B,INPUT,DMI_RXN[2],RIGHT
AC5,UNIT_B,INPUT,DMI_RXN[3],RIGHT
Y3,UNIT_B,INPUT,DMI_RXP[0],RIGHT
AA4,UNIT_B,INPUT,DMI_RXP[1],RIGHT
AB4,UNIT_B,INPUT,DMI_RXP[2],RIGHT
AC4,UNIT_B,INPUT,DMI_RXP[3],RIGHT
AC1,UNIT_B,OUTPUT,DMI_TXN[0],RIGHT
AD2,UNIT_B,OUTPUT,DMI_TXN[1],RIGHT
AE1,UNIT_B,OUTPUT,DMI_TXN[2],RIGHT
AF3,UNIT_B,OUTPUT,DMI_TXN[3],RIGHT
AC2,UNIT_B,OUTPUT,DMI_TXP[0],RIGHT
AD3,UNIT_B,OUTPUT,DMI_TXP[1],RIGHT
AE2,UNIT_B,OUTPUT,DMI_TXP[2],RIGHT
AF2,UNIT_B,OUTPUT,DMI_TXP[3],RIGHT
M9,PWR,NC,DISP_RCOMP,RIGHT
E12,UNIT_C,OUTPUT,EDP_AUXN,LEFT
D12,UNIT_C,OUTPUT,EDP_AUXP,LEFT
