LGA-2011,,,
Pin,Unit,Type,Name
CN41,OTHERS1,I/O,BCLK0_DN
CL41,OTHERS1,I/O,BCLK0_DP
AW45,OTHERS1,I/O,BCLK1_DN
BA45,OTHERS1,I/O,BCLK1_DP
AJ43,OTHERS1,I/O,BIST_ENABLE
AM48,OTHERS1,I/O,BMCINIT
BC43,OTHERS1,I/O,BPM_N[0]
BB44,OTHERS1,I/O,BPM_N[1]
BE47,OTHERS1,I/O,BPM_N[2]
BF46,OTHERS1,I/O,BPM_N[3]
BE45,OTHERS1,I/O,BPM_N[4]
BD46,OTHERS1,I/O,BPM_N[5]
BA43,OTHERS1,I/O,BPM_N[6]
AW43,OTHERS1,I/O,BPM_N[7]
CC51,OTHERS1,I/O,CATERR_N
DC15,DDR1,I/O,DDR_RESET_C01_N
C23,DDR2,I/O,DDR_RESET_C23_N
CK42,DDR1,I/O,DDR_SCL_C01
V40,DDR2,I/O,DDR_SCL_C23
CM42,DDR1,I/O,DDR_SDA_C01
Y40,DDR2,I/O,DDR_SDA_C23
CK16,DDR1,I/O,DDR0_ACT_N
CD16,DDR1,I/O,DDR0_ALERT_N
CL21,DDR1,I/O,DDR0_BA[0]
CH20,DDR1,I/O,DDR0_BA[1]
CL17,DDR1,I/O,DDR0_BG[0]
CN17,DDR1,I/O,DDR0_BG[1]
CJ25,DDR1,I/O,DDR0_CID[2]
CJ17,DDR1,I/O,DDR0_CKE[0]
CE17,DDR1,I/O,DDR0_CKE[1]
CF16,DDR1,I/O,DDR0_CKE[2]
CC17,DDR1,I/O,DDR0_CKE[3]
CN15,DDR1,I/O,DDR0_CKE[4]
CC15,DDR1,I/O,DDR0_CKE[5]
CE21,DDR1,I/O,DDR0_CLK_DN[0]
CF18,DDR1,I/O,DDR0_CLK_DN[1]
CF20,DDR1,I/O,DDR0_CLK_DN[2]
CE19,DDR1,I/O,DDR0_CLK_DN[3]
CC21,DDR1,I/O,DDR0_CLK_DP[0]
CD18,DDR1,I/O,DDR0_CLK_DP[1]
CD20,DDR1,I/O,DDR0_CLK_DP[2]
CC19,DDR1,I/O,DDR0_CLK_DP[3]
CD22,DDR1,I/O,DDR0_CS_N[0]
CH22,DDR1,I/O,DDR0_CS_N[1]
CF26,DDR1,I/O,DDR0_CS_N[2]/CID[0]
CC25,DDR1,I/O,DDR0_CS_N[3]/CID[1]
CK22,DDR1,I/O,DDR0_CS_N[4]
CH24,DDR1,I/O,DDR0_CS_N[5]
CH26,DDR1,I/O,DDR0_CS_N[6]/CID[3]
CD26,DDR1,I/O,DDR0_CS_N[7]/CID[4]
CK24,DDR1,I/O,DDR0_CS_N[8]
CK26,DDR1,I/O,DDR0_CS_N[9]
BU7,DDR1,I/O,DDR0_DQ[0]
BT6,DDR1,I/O,DDR0_DQ[1]
BW13,DDR1,I/O,DDR0_DQ[10]
BY14,DDR1,I/O,DDR0_DQ[11]
BT14,DDR1,I/O,DDR0_DQ[12]
BU15,DDR1,I/O,DDR0_DQ[13]
CA11,DDR1,I/O,DDR0_DQ[14]
BY12,DDR1,I/O,DDR0_DQ[15]
CE9,DDR1,I/O,DDR0_DQ[16]
CF8,DDR1,I/O,DDR0_DQ[17]
CK10,DDR1,I/O,DDR0_DQ[18]
CJ11,DDR1,I/O,DDR0_DQ[19]
CA9,DDR1,I/O,DDR0_DQ[2]
CD10,DDR1,I/O,DDR0_DQ[20]
CE11,DDR1,I/O,DDR0_DQ[21]
CK8,DDR1,I/O,DDR0_DQ[22]
CJ9,DDR1,I/O,DDR0_DQ[23]
CE13,DDR1,I/O,DDR0_DQ[24]
CG15,DDR1,I/O,DDR0_DQ[25]
CM14,DDR1,I/O,DDR0_DQ[26]
CH14,DDR1,I/O,DDR0_DQ[27]
CC13,DDR1,I/O,DDR0_DQ[28]
CD14,DDR1,I/O,DDR0_DQ[29]
CB8,DDR1,I/O,DDR0_DQ[3]
CM12,DDR1,I/O,DDR0_DQ[30]
CL13,DDR1,I/O,DDR0_DQ[31]
CK28,DDR1,I/O,DDR0_DQ[32]
CH28,DDR1,I/O,DDR0_DQ[33]
CK32,DDR1,I/O,DDR0_DQ[34]
CH32,DDR1,I/O,DDR0_DQ[35]
CL27,DDR1,I/O,DDR0_DQ[36]
CJ27,DDR1,I/O,DDR0_DQ[37]
CL31,DDR1,I/O,DDR0_DQ[38]
CJ31,DDR1,I/O,DDR0_DQ[39]
BT8,DDR1,I/O,DDR0_DQ[4]
CD28,DDR1,I/O,DDR0_DQ[40]
CB28,DDR1,I/O,DDR0_DQ[41]
CD32,DDR1,I/O,DDR0_DQ[42]
CB32,DDR1,I/O,DDR0_DQ[43]
CE27,DDR1,I/O,DDR0_DQ[44]
CC27,DDR1,I/O,DDR0_DQ[45]
CE31,DDR1,I/O,DDR0_DQ[46]
CC31,DDR1,I/O,DDR0_DQ[47]
CE35,DDR1,I/O,DDR0_DQ[48]
CC35,DDR1,I/O,DDR0_DQ[49]
BU9,DDR1,I/O,DDR0_DQ[5]
CE39,DDR1,I/O,DDR0_DQ[50]
CC39,DDR1,I/O,DDR0_DQ[51]
CF34,DDR1,I/O,DDR0_DQ[52]
CD34,DDR1,I/O,DDR0_DQ[53]
CF38,DDR1,I/O,DDR0_DQ[54]
CD38,DDR1,I/O,DDR0_DQ[55]
CL35,DDR1,I/O,DDR0_DQ[56]
CJ35,DDR1,I/O,DDR0_DQ[57]
CL39,DDR1,I/O,DDR0_DQ[58]
CJ39,DDR1,I/O,DDR0_DQ[59]
CA7,DDR1,I/O,DDR0_DQ[6]
CM34,DDR1,I/O,DDR0_DQ[60]
CK34,DDR1,I/O,DDR0_DQ[61]
CM38,DDR1,I/O,DDR0_DQ[62]
CK38,DDR1,I/O,DDR0_DQ[63]
CB6,DDR1,I/O,DDR0_DQ[7]
BT12,DDR1,I/O,DDR0_DQ[8]
BU11,DDR1,I/O,DDR0_DQ[9]
BV6,DDR1,I/O,DDR0_DQS_DN[0]
BW11,DDR1,I/O,DDR0_DQS_DN[1]
BV14,DDR1,I/O,DDR0_DQS_DN[10]
CH8,DDR1,I/O,DDR0_DQS_DN[11]
CF14,DDR1,I/O,DDR0_DQS_DN[12]
CJ29,DDR1,I/O,DDR0_DQS_DN[13]
CC29,DDR1,I/O,DDR0_DQS_DN[14]
CD36,DDR1,I/O,DDR0_DQS_DN[15]
CK36,DDR1,I/O,DDR0_DQS_DN[16]
