Z390,,,,,,
Pin,Unit,Type,Name,,,
AR2,GEN_PINS_3,I/O,CL_CLK,,,
AT5,GEN_PINS_3,I/O,CL_DATA,,,
AU4,GEN_PINS_3,OUTPUT,CL_RST#,,,
R6,CLK,INPUT,CLKIN_XTAL,,,
C8,CPU,OUTPUT,CLKOUT_CPUBCLK_N,,,
B8,CPU,OUTPUT,CLKOUT_CPUBCLK_P,,,
C6,CPU,OUTPUT,CLKOUT_CPUNSSC_N,,,
D7,CPU,OUTPUT,CLKOUT_CPUNSSC_P,,,
B6,CPU,OUTPUT,CLKOUT_CPUPCIBCLK_N,,,
A6,CPU,OUTPUT,CLKOUT_CPUPCIBCLK_P,,,
Y3,CLK,OUTPUT,CLKOUT_ITPXDP_N,,,
Y4,CLK,OUTPUT,CLKOUT_ITPXDP_P,,,
AJ6,FLEX_IO,OUTPUT,CLKOUT_PCIE_N0,,,
AH9,FLEX_IO,OUTPUT,CLKOUT_PCIE_N1,,,
AC9,FLEX_IO,OUTPUT,CLKOUT_PCIE_N10,,,
AE9,FLEX_IO,OUTPUT,CLKOUT_PCIE_N11,,,
AC7,FLEX_IO,OUTPUT,CLKOUT_PCIE_N12,,,
AA1,FLEX_IO,OUTPUT,CLKOUT_PCIE_N13,,,
T2,FLEX_IO,OUTPUT,CLKOUT_PCIE_N14,,,
V2,FLEX_IO,OUTPUT,CLKOUT_PCIE_N15,,,
AE14,FLEX_IO,OUTPUT,CLKOUT_PCIE_N2,,,
AE6,FLEX_IO,OUTPUT,CLKOUT_PCIE_N3,,,
AC2,FLEX_IO,OUTPUT,CLKOUT_PCIE_N4,,,
AB2,FLEX_IO,OUTPUT,CLKOUT_PCIE_N5,,,
W4,FLEX_IO,OUTPUT,CLKOUT_PCIE_N6,,,
W7,FLEX_IO,OUTPUT,CLKOUT_PCIE_N7,,,
AC14,FLEX_IO,OUTPUT,CLKOUT_PCIE_N8,,,
U2,FLEX_IO,OUTPUT,CLKOUT_PCIE_N9,,,
AJ7,FLEX_IO,OUTPUT,CLKOUT_PCIE_P0,,,
AH10,FLEX_IO,OUTPUT,CLKOUT_PCIE_P1,,,
AC11,FLEX_IO,OUTPUT,CLKOUT_PCIE_P10,,,
AE11,FLEX_IO,OUTPUT,CLKOUT_PCIE_P11,,,
AC6,FLEX_IO,OUTPUT,CLKOUT_PCIE_P12,,,
Y2,FLEX_IO,OUTPUT,CLKOUT_PCIE_P13,,,
T1,FLEX_IO,OUTPUT,CLKOUT_PCIE_P14,,,
V3,FLEX_IO,OUTPUT,CLKOUT_PCIE_P15,,,
AE15,FLEX_IO,OUTPUT,CLKOUT_PCIE_P2,,,
AE7,FLEX_IO,OUTPUT,CLKOUT_PCIE_P3,,,
AC3,FLEX_IO,OUTPUT,CLKOUT_PCIE_P4,,,
AB3,FLEX_IO,OUTPUT,CLKOUT_PCIE_P5,,,
W3,FLEX_IO,OUTPUT,CLKOUT_PCIE_P6,,,
W6,FLEX_IO,OUTPUT,CLKOUT_PCIE_P7,,,
