uPD720202,,,,
Pin,Type,Unit,Name,Side
12,PWR,POWER,VDD33,LEFT
22,PWR,POWER,VDD33,LEFT
34,PWR,POWER,VDD33,LEFT
43,PWR,POWER,VDD33,LEFT
6,PWR,POWER,VDD10,LEFT
9,PWR,POWER,VDD10,LEFT
21,PWR,POWER,VDD10,LEFT
30,PWR,POWER,VDD10,LEFT
33,PWR,POWER,VDD10,LEFT
39,PWR,POWER,VDD10,LEFT
42,PWR,POWER,VDD10,LEFT
3,PWR,POWER,AVDD33,RIGHT
25,PWR,POWER,AVDD33,RIGHT
49,PWR,POWER,GND,RIGHT
27,INPUT,POWER,TEST,RIGHT
26,I/O,POWER,RREF,LEFT
24,INPUT,POWER,XT1,LEFT
23,OUTPUT,POWER,XT2,LEFT
11,INPUT,POWER,PONRSTB,LEFT
46,OUTPUT,POWER,SMIB,LEFT
1,INPUT,DATA,PECLKP,LEFT
2,INPUT,DATA,PECLKN,LEFT
4,OUTPUT,DATA,PETXP,LEFT
5,OUTPUT,DATA,PETXN,LEFT
7,INPUT,DATA,PERXT,LEFT
8,INPUT,DATA,PERXN,LEFT
47,INPUT,DATA,PERSTB,LEFT
48,OUTPUT,DATA,PEWAKEB,LEFT
10,OUTPUT,DATA,PECREQB,LEFT
28,OUTPUT,DATA,U3TXDP1,RIGHT
29,OUTPUT,DATA,U3TXDN1,RIGHT
31,INPUT,DATA,U3RXDP1,RIGHT
32,INPUT,DATA,U3RXDN1,RIGHT
35,I/O,DATA,U2DP1,RIGHT
36,I/O,DATA,U2DM1,RIGHT
19,INPUT,DATA,OCI1B,RIGHT
20,OUTPUT,DATA,PPON1,RIGHT
37,OUTPUT,DATA,U3TXDP2,RIGHT
38,OUTPUT,DATA,U3TXDN2,RIGHT
40,INPUT,DATA,U3RXDP2,RIGHT
41,INPUT,DATA,U3RXDN2,RIGHT
44,I/O,DATA,U2DP2,RIGHT
45,I/O,DATA,U2DM2,RIGHT
17,INPUT,DATA,OCI2B,RIGHT
18,OUTPUT,DATA,PPON2,RIGHT
15,OUTPUT,POWER,SPISCK,RIGHT
14,OUTPUT,POWER,SPICSB,RIGHT
16,OUTPUT,POWER,SPCSI,RIGHT
13,INPUT,POWER,SPISO,RIGHT
